year,district,A1101,A1102,A1414,A2101,A210102,B1101,B1103,C120110,D2201,D320101,D320108,D320113,D320115,D320122,D320406
2017,千葉県第10区,435722,426339,383010,431043,217404,99832,81819,568390020,0.5877777777777778,67351783,38254267,20449226,10373638,209533,26841155
2017,千葉県第11区,434489,427957,386888,433792,218420,116175,75199,524080100,0.5494117647058824,53459843,40962706,19617771,11847451,183276,16596693
2017,千葉県第12区,455178,448974,400129,454021,227225,133475,62306,605513130,0.6975,72652916,25564933,22445322,10948195,263103,14980709
2017,千葉県第13区,1391924,1356037,1194209,1377499,689248,48611,42914,2312549491,0.8362499999999999,215457180,18196455,70835982,22921260,1112104,63409971
2017,千葉県第１区,514756,496778,443255,494904,247664,8712,8113,873155290.7580808,0.9500000000000001,92761423.50467329,5099119.390337743,34020390.65541811,8118597.678054183,311351.48723399517,18874367.641819924
2017,千葉県第２区,540261,526756,467731,533604,267612,10655,9683,929332439.263957,0.9366666666666668,88309325.90060878,6651184.535561192,28440235.309146397,9089191.481451662,383612.13395155827,22582717.059707288
2017,千葉県第３区,401504,393780,345052,400762,196852,43442,27838,627579285.7082675,0.9750000000000001,71807872.56664005,1461505.3325621434,24089314.983168542,7247286.570509781,264967.63937587716,14198572.978570042
2017,千葉県第４区,622890,606058,534177,615783,306884,8562,8212,1081631365,0.96,98082326,3336675,34637604,9626760,463827,30469870
2017,千葉県第５区,645756,599339,529086,629257,311707,7475,7352,1305993610,1.275,121857398,631114,31099512,10153369,367736,29615540
2017,千葉県第６区,965212,909055,807996,944355,468074,11883,11572,1735444896,0.9650000000000001,149724695,6562480,54954107,16465891,611747,33711039
2017,千葉県第７区,811436,791933,700796,809292,404877,20025,18797,1339946092,0.8966666666666667,116545200,12635983,49011396,14696868,595370,37846308
2017,千葉県第８区,545560,531045,469231,536191,270358,15789,14510,907415603,0.895,82774490,7402906,26169940,8973832,409362,16968355
2017,千葉県第９区,483796,472962,420113,482000,240886,29736,23129,768045306.2696948,0.8300000000000001,69842219.0280779,9850615.741538921,25371360.052266948,8410219.269984376,322582.73943856946,12557865.319902748
2017,和歌山県第１区,364154,360592,317707,369721,194015,20884,14726,477013456,0.81,63453773,11030809,32285202,9247677,247303,15971580
2017,和歌山県第２区,293946,292046,257035,297791,156517,99643,39628,339490700,0.3977777777777778,33476028,43923663,15669358,9167485,157429,14713362
2017,和歌山県第３区,305479,303561,267776,311028,164208,351944,57159,307632927,0.3115,33629473,71883463,21335335,14336039,113259,27023896
2017,埼玉県第10区,397351,390718,349280,388474,193752,40588,29825,546924957,0.747,54907399,14890467,17707486,7684502,252359,13230276
2017,埼玉県第11区,614580,605176,538165,609753,306089,149180,62453,812979486,0.5946153846153847,86464766,37414164,32091953,14165023,368363,30583334
2017,埼玉県第12区,566030,558349,497265,562533,281946,48669,48105,784977858,0.77,78028723,25286184,26832250,11558171,385422,17263794
2017,埼玉県第13区,870138,857013,760719,865956,433920,27680,27397,1300259738,0.8,117372774,22467165,41338463,15079082,678809,22297128
2017,埼玉県第14区,806076,791964,704596,802032,398211,30838,30748,1161704919,0.81625,112509628,22385038,40789705,14626063,642931,22497701
2017,埼玉県第15区,1064584,1024679,913319,1038299,509750,11771,11674,1814958830.3256414,0.998,182894288.14433134,7316093.493196283,67918382.16298133,17995809.177631408,901934.1599272217,45404937.58561162
2017,埼玉県第１区,542699,530281,465661,544672,274594,11781,11414,1006620591.8442361,0.98,99442544.97842124,2504059.7076270343,32811800.167170923,8493221.186481912,400928.0723148348,26066121.20300222
2017,埼玉県第２区,578112,554619,498680,565506,277787,6195,6134,946633078,0.96,93853235,4409932,37741433,9903862,495044,25161772
2017,埼玉県第３区,584532,573775,500680,574962,285818,8770,8757,903373434,0.91,83524945,6423037,29021469,9289033,512075,14356669
2017,埼玉県第４区,451923,442004,387849,448628,221995,6121,5971,786024742,0.935,70435914,4640475,24570827,8344517,402525,12761674
